,txt,label
0,ไม่ทราบว่า ตารางเรียที่จะเรียน ออนไลน์ วันที่ 17 นี้ ดูได้จากที่ไหนคะ,1
1,ขอตารางเรียน ป.6 หน่อยค่ะ,1
2,เรียนทักษะว่ายเด็กโตเปิดสอนไหมคะ,7
3,ทักษะว่ายเปิดสอนกลุ่มเด็กม.ต้นมั้ยครับ,7
4,ทางโรงเรียนมีเปิดรับสมัครเข้ ป. 1รอบ 2มั้ยคะ,7
5,"ปีนี้สมัครไม่ทัน น้องพึ่งได้2ขวบกว่า ปีหน้าจะสมัครนะค่ะ น้องจะ3ขวบ
 พอดีและค่ะ ทางร.รน่าจะรับยุใช่ไหมค่ะ ขอรายละเอียดค่ะ",7
6,ค่าสมัครภาคภาษาอังกฤษราคาเท่าไหร่คะ,5
7,ชื่อเฟสเมื่อไหร่จะเปลี่ยน ทนใช้อยู่ได้ไง,0
8,ผลการเรียน จะส่งเมื่อไรครับ,1
9,ป.4 เปิดรับไหมครับ,7
10,ห้องปกติรับสมัครเมื่อไรคะ,7
11,รบกวนสอบถามค่ะ ผปค. ไปคนเดียว นักเรียนไม่ต้องไปด้วย ใช่ไหมคะ,0
12,สอบถามหน่อยค่ะกรณีผู้ปกครองติดธุระไปไม่ได้เป็นอะไรไหมค่ะ,0
13,ม.4 มีแผนรับเพิ่มไหมค่ะ😊😊,7
14,ม.4มีรับเพิ่มเติมไหมค่ะ,7
15,ถ้าจะย้ายเข้าไปเรียนตอนม.5ได้ไหมคะ แล้วใช้เอกสารอะไรบ้าง,7
16,"กังวลเรื่องการพ้นยาอ่ะค่ะ จะมีสารเคมีตกค้างอยู่บนโต๊ะเด็กๆมั้ยคะ
 นั่น เช็ดทำความสะอาดให้มั้ยคะ กลัวเด็กจับโต๊ะแล้วเอามือเข้าปาก",0
17,"เปิดเรียนเต็มรูปแบบ คือเรียน จันทร์ ถึง ศุกร์
 แล้วปรับวันสิ้นสุดภาคการศึกษา และ วันสอบปลายภาค หรือไม่?",1
18,"ทำไมเมนูอาหารภาคปกติกับภาคep.. ถึงกินเหมือนกัน...ไม่แยก
 เลยแบบนี้ คุณจะมาคิดราคาค่าเทอม ep..แพงกว่าธรรมดาทำไม...
 เอาอะไรมาคิด",0
19,"สำหรับเด็กประถมที่ทานเผ็ดไม่ได้ จะทำอย่างไรคะ เมนูนี้ต้องทาน
 ทั้งโรงเรียนเหรอคะ?",3
